Overview,Website,Industry,Company Size,Headquarters,Founded,Specialties,Company Name,LinkedIn URL
"Welcome to the world of amanté – a perfect blend of luxurious comfort, trendy fashion, seamless fit and thoughtful design. Launched in 2007, amanté specializes in premium quality lingerie for modern day women, who want to and can have it all. Be it about making heads turn with everyday intimate wear or making hearts skip a beat on special occasions, amanté lingerie is crafted to perfection keeping in mind every need of women. Our finely curated portfolio offers a versatile range of exquisite lingerie, sleepwear, activewear, swimwear, shapewear, liners, accessories and more, making amanté the ultimate intimate-wear destination.",http://www.amantelingerie.in/,Retail Apparel and Fashion,"501-1,000 employees","Bangalore, Karnataka",N/A,N/A,Amante,https://www.linkedin.com/company/amante-india/
BLAZO Clothing is a manufacturing company of kids apparel by its own private label  “BLAZO.“,http://www.blazoclothing.com/,Retail Apparel and Fashion,"501-1,000 employees","Mumbai, Maharashtra",2003,N/A,Blazo Clothing,https://www.linkedin.com/company/blazo-clothing-manufacturing-company-private-limited/
"RTNS is one of the leading IT Enabled and Digital Services Company. RTNS has the BEST team of employees in this industry. Our team has a perfect balance of experience, knowledge and energy of youth.

Over the years we were able to build a process driven work ethics and state of the art infrastructure to help our worldwide clients.

Our main services are Networking, GIS applications, Digital Marketing, PPC campaigns, PPC campaign, Website Design and Development, E commerce design and Development, Social Media promotions, Mobile App development.",https://www.rtns.in/,IT Services and IT Consulting,"1,001-5,000 employees","Kolkata, West Bengal",2011,"Network Solution Partner, GIS Application, IT Security & Application Roll Out, Image Processing, Remote Sensing & GIS based Solution, Network Audit, Project Management, Manpower Roll Out Services, Digital Marketing, Search Engine Optimization, PPC Campaigns, Web Design, and Mobile App Development",RT Network Solutions Pvt. Ltd.,https://www.linkedin.com/company/rtns-digital-marketing/
"NSL Textiles Ltd, a part of multi-dimensional NSL Group, is one of the largest and fully integrated Textile Companies in the country, equipped with state-of-art machinery and promoted with the concept of ""Cotton to Clothing"" having its manufacturing operations spread over 5 locations and providing largest employment in Textile sector with 7000 workforce in the State of Andhra Pradesh.",http://www.nsltextiles.com/,Textile Manufacturing,"1,001-5,000 employees","Hyderabad, Telangana",N/A,N/A,NSL Textiles,https://www.linkedin.com/company/nsltextiles/
"Jaya Shree Textiles a Unit of Aditya Birla Nuvo Ltd. is a leading player in Linen and Wool segment of the Global Textile Business. It has significantly revolutionized the Indian and foreign textile market by popularizing ‘Linen’ across a wide customer base with its brand “Linen Club”. Jaya Shree Textiles sells its products in over 50 countries, spanning all the six continents of the World. It has an annual turnover of about Rs 800 crores. The company offers a wide range of products such as Linen Yarn, Linen Fabric, Worsted Yarn and Wool Tops.

Today linen and wool products are the key drivers of its textile business. The four product groups are working as four Strategic Business Units (SBUs). They are: Linen Spinning, Linen Fabric, Wool Combing and Worsted Spinning All the four SBUs are driven by the common goal of making the workplace a source of creativity, innovation, and self-fulfillment for all employees.

The company has relevant international system certification viz. ISO 9001: 2008, ISO 14001: 2004, OHSA 18001: 2007 and SA 8000: 2008. Also the Oeko Tex certificate has been obtained towards testing for harmful substances according to Oeko Tex Standard 100.",http://www.linenclub.com/,Retail Apparel and Fashion,"1,001-5,000 employees",N/A,1949,"Linen Fabrics, Linen Yarn, Worsted Yarn, and Wool Tops",Linen Club,https://www.linkedin.com/company/linen-club/
N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gupta Overseas,https://www.linkedin.com/company/clgupta-&-associates/
"At Janasya, our vision is to create fashion that passionately caters to the needs of the modern Indian woman. We strive to innovate and lead in meeting the evolving fashion requirements of the contemporary Indian women, providing them with a comprehensive wardrobe solution for every mood and occasion.

With Janasya, you can discover the finest ethnic collection carefully curated to suit your unique personality. We are committed to fulfilling our promises, delivering the best fits for all sizes, highest quality, and exceptional value for our valued customers.

Inspired by Rashmika Mandanna's iconic style ✨
Gulbahaar -Spring of roses 🌹 Live Now!",http://www.janasya.in/,Retail Apparel and Fashion,"501-1,000 employees","Surat, Gujarat",2015,"Kurti, kurti manufacturer, kurta, kurta for women, apparel, ethnic kurti, ecommerce brand for women wear, stylish suit, party wear kurta, women kurti, apparel brand for women, janasya, janasya kurti, kurti manufacturer, kurti dealer, and Janasya fashion",Janasya,https://www.linkedin.com/company/janasyaclothing/
"Basant Overseas is a reputed name in the Footwear Manufacturing industry, Exporting and Supplying worldwide Brands with quality assortment of Leather Footwear. Located in Agra, Uttar Pradesh, India. Basant Overseas is widely acclaimed for the comfort and quality detail we add to each shoe made. Not only known for world-class quality, style and top-notch materials we benefit from 30+ years of shoe manufacturing experience and more than 1+ million shoes shipped every year.

Basant Overseas gives Brands and companies the power to create their own custom collections from scratch and with great value for money. We have a fully integrated facility for Leather finishing, production and logistics in Agra, India, the most exclusive Leather Footwear craftsmanship city in Asia.",http://www.basantoverseas.com/,Retail Apparel and Fashion,"501-1,000 employees","Agra, Uttar Pradesh",1985,"Footwear, Leather Goods, Womens Footwear, Product Design, Manufacturer, Womens Shoes, leather, production, Sourcing, Client Development, and Servicing",Basant Overseas,https://www.linkedin.com/company/basantoverseas/
"Windlass Steelcrafts is the manufacturing company based in Dehradun, India, producing replica and functional swords, sabers, and historical arms and armor. Founded in 1943 supplying Kukri knives to the British Gurkha Regiments, the company is the largest suppliers of swords in the world and the premier supplier of military sabers.

Today, Windlass Steelcrafts works with governments on six continents, providing military supplies such as kukris, combat knives, dress sabers, personal regalia, and army-grade textiles. We also offer props, clothing, and accessories to studios and popular TV productions and shows like Troy, The Lord of the Rings, Kingdom of Heaven, HBO's Rome, and Showtime's the Tudors. At our Dehradun Factory, state-of-the-art manufacturing facilities have helped us partner with artists, design studios, and companies to bring to life iconic pieces, such as the Helmet of Spaniard from Gladiator.

We have offices and warehouses in Atlanta, USA where Museum Replicas Ltd. and Atlanta Cutlery Corp. are our North American headquarters and London, England, from where we supply British military swords and other presentation and ceremonial swords as Windlass Sword Company UK. We also have a manufacturing facility and our European headquarters at the Marto/Bermejo Group in Toledo, Spain. 

We are extremely proud of our weapons and armor, which are expertly crafted by a skilled workforce with 60 plus years of experience in the industry. Days, sometimes months of research, study and extreme focus are involved in achieving authenticity in our products. Countless items from our catalog have been modeled directly off of originals housed in museums or private collections, which helps us to ensure that every little detail is incorporated. In short, our products embody style, substance, and value for money.

Our Quality Management System has ISO 9001:2015 certifications for the manufacture and supply of metallic and leatherettes handicraft items.",https://www.windlass.com/,Sporting Goods Manufacturing,"501-1,000 employees","Dehradun, Uttarakhand",1943,"Military Sabers, Swords, Armor, and Handicrafts",Windlass Steelcrafts,https://www.linkedin.com/company/windlass-steelcrafts-llp/
"MODI ENTERPRISES is a retail company based out of 4 community cxentre, new delhi, delhi, India.",http://modi.com/,Retail,"10,001+ employees","new delhi, delhi",1936,N/A,Modi Enterprises,https://www.linkedin.com/company/modi-enterprises/
We at Karnika are Eastern India's Largest Manufacturers of Kids Readymade garments. We are  dedicated towards latest Fashion and styles for our cute ones as we believe a happy child has a happy mind.,https://www.karnikaindustries.com/,Apparel Manufacturing,"501-1,000 employees","Howrah, West Bengal",2017,"fashion, garments, kidswear, clothing, apparels, manufacturing, apparels, hosiery, clothes, kids, and kidsclothing",Karnika Industries,https://www.linkedin.com/company/karnikaindustrieslimited/
"Lux Industries was set up as the Biswanath Hosiery Mills in 1957 by the late Girdharilalji Todi. Girdharilalji's sons took over the operating responsibilities in 1964. The next 20 years saw the company growing 100 times in size through a series of marketing and manufacturing innovations.
 In 1992, Lux launched their first television commercial with the famous yeh andar ki baat hai tagline. The following year saw the company launch their export operations and quickly established a strong presence overseas, with offices in the Middle East, Europe, and Africa. In 1994, Lux organised the first Dealer’s Conference in the Indian hosiery industry and also established the industry’s first International Dealers' Tour. 1995 saw the company officially changing its name to Lux industries limited. This was followed in short order by the establishment of over 500,000 retail outlets all over India, and has offices in Kolkata, Delhi, Agra, Indore, Mumbai, Ludhiana, Jaipur, and Roorkee.",http://www.lux.ind.in/,Textile Manufacturing,"501-1,000 employees","Kolkata, West Bengal",N/A,"Innerwear, Premium Innerwear, Winterwear, Leggings, and Hosiery Garments",Lux Industries,https://www.linkedin.com/company/lux-industries-ltd/
"Evolv Technology is a leading security technology company pioneering AI-based weapons screening to create safer experiences, securing the world’s most iconic venues and companies. We help provide sports fans, theme park visitors, concertgoers, shoppers, employees, students, healthcare workers and others peace of mind so that they can gather without fear of violence.  Our security screening has scanned more than 1 billion people worldwide, and our technology combines powerful, advanced sensors with proven artificial intelligence (AI), security ecosystem integrations, and comprehensive venue analytics to detect threats 10 times faster than traditional metal detectors.  

Subscribe to our YouTube Channel: https://www.youtube.com/c/EvolvTechnology",http://www.evolv.com/,Security and Investigations,51-200 employees,"Waltham, Massachusetts",2013,"Machine Learning, Sensors, Physical Security, Artificial Intelligence, People Screening, Weapons Detection, Threat Detection, Thermal Imaging, Security Screening, Digital Threshold, Thermal Imaging, Digitally Transforming Security, Security Data Analytics, Security Concept of Operations, Metal Detection, Saving Lives, Detecting Mass Casualty Threats, Event Security Screening, Employee Screening, and Human Safety",Evolv,https://www.linkedin.com/company/evolv-technology/
"With a rich legacy that dates back to 1985, Lalithaa Jewellery stands out amongst the various jewellers in Chennai, not just for its low wastage but also for the exhaustive range it offers and indeed for the depth and beauty of the craft inherent in almost every item it showcases.

The designs, all of them in 916 BIS Hallmarked gold, spell class, staking claim to mixed origins like Mumbai, Rajkot, Kolkata, Kerala and Coimbatore regions. The quality of gold, certified as they are by the Bureau of Indian standards as 916 BIS Hallmark, is unmistakable. And the intricate workmanship thatâ€™s a hallmark of the Lalithaa brand, is a fine attraction.",http://lalithaajewellery.com/,Retail Luxury Goods and Jewelry,"1,001-5,000 employees","Chennai, Tamil Nadu",1985,"Indian Jewellery, Indian Jewellery Online, Diamond Jewellery, Platinum Jewellery, and Gold Ornaments",Lalithaa Jewellery,https://www.linkedin.com/company/lalithaa-jewellery/
"PASHMA is a multi-national luxury brand born out of passion towards building a global fashion label that is designed, curated and manufactured in India.
Made in India was synonymous with being ethnic and to disrupt this paradigm fashion entrepreneur Shilu Kumar embarked on an arduous and ambitious journey. Embodying the finest craftsmanship, Pashma launched a line of scarves and shawls in 1999 and was showcased at the Milano Vende Moda- a prestigious trade show. It evoked an instant 'bellissima' among fashionistas for its refreshing take on luxury fashion that celebrated individualism.
The brand represents the spirit, aspirations, passion and dynamism of new India. Our future is not wavered by traditions and conventions as we chart our own course on the path of modernity, amidst the rich backdrop of our heritage.

How We Create
• Pashma’s products are crafted in its one-of-a-kind manufacturing facilities that blend primitive textile traditions with state-of-the-art modern day technology
• In-house facilities in Worsted, spinning, weaving, knitting, dyeing, printing and fabrication makes it the only boutique mill to have this level of integration
• A design team where artisans interact freely with professionally trained designers to create a distinct hand-writing

What We Create
• An expansive and opulent selection of scarves and wraps crafted from the finest qualities of cashmere and silk
• A unique collection trans-seasonal knitwear made from the finest qualities of cashmere and silk Seri lavished with the most eye-catching motifs

Over 15 years, Pashma has developed a global fan following and has bloomed into a lifestyle brand with ready-to-wear collections for women and men. It is sold through its growing network of standalone stores and leading specialty and department stores in 40 countries. 
From the opulence of the Maharajas of India to the iconoclasm of contemporary street art, Pashma celebrates the beautiful contradiction that is modern India.",http://pashma.com/,Apparel & Fashion,"501-1,000 employees","Gurugram, HR",1999,N/A,Pashma,https://www.linkedin.com/company/pashma/
Efficient Online Bookkeeping Services,https://www.carltononlinebookkeeping.com.au/,Accounting,2-10 employees,N/A,N/A,N/A,Carlton Online,https://www.linkedin.com/company/carlton-online-bookkeeping/
"‘Malwa Industries Limited’ --
                                     20 million meters of Fashion, 
                          5 million pieces of Pleasure-wear, 
                Global Know-how 
                             yet Integrated Passion, 
                                       Inspiring the Next in TopGear.",http://www.malwagroup.com/,Textile Manufacturing,"1,001-5,000 employees","Ludhiana, Punjab",N/A,N/A,Malwa Industries,https://www.linkedin.com/company/malwa-industries-limited/
"Founded by Mr. Jagshi V. Dedhia in the year 1975, Shree Rashmi Dresses, Stands on its Basic Business Values of Quality, Consistency, Integrity and Constant Innovation. The Organization is very strong on ethics and business principles both fundamentally and morally, but what really make this organization have a superior presence are its team members, dedication and determination of the employees and an environment that is conducive to the Quality of the Product, the Service and our dreams to create the best for our people.
Get updated with the latest and trending traditional wear @neuron Clothing. We understand the ideology of todays generation.  No one does minimalistic fashion better than Neuron Clothing. Comfort is on priority for the brand, it's masterfully crafted & mollifying designs bring out the Indian look in you.",http://neuronclothing.com/,Retail Apparel and Fashion,"1,001-5,000 employees","Mumbai, Maharashtra",1975,N/A,Neuron Clothing,https://www.linkedin.com/company/neuron-clothing/
"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale.
 
We are a talent and innovation-led company serving clients in more than 120 countries. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities.

This LinkedIn company page is moderated. When engaging with Accenture, we encourage everyone to:

- Use common courtesy and be respectful of others.
- Create your own original content and avoid content that you know to be fraudulent.
- Never repost someone else's copyrighted work, unless you have permission.
- Never post personal, identifying, or confidential information.

We reserve the right to delete comments or posts we deem to be:

- Profane, obscene, inappropriate, offensive, abusive material.
- Spam, repeated comments and commercial messages and personal advertisements.
- Discriminatory or that contain hateful speech of any kind regarding age, gender, race, religion, nationality, sexual orientation, gender identity or disability.
- Threats; personal attacks; abusive, defamatory, derogatory, or inflammatory language; or stalking or harassment of any individual, entity or organization.
- False, inaccurate, libelous, or otherwise misleading in any way.",http://www.accenture.com/,Business Consulting and Services,"10,001+ employees",N/A,N/A,"Management Consulting, Systems Integration and Technology, Business Process Outsourcing, and Application and Infrastructure Outsourcing",Accenture,https://www.linkedin.com/company/accenture/
